From /home/will/bnl/hsr_lattice/EIC-HSR-240102b/hi-n/275-10-collision, run:
tao -init tao.init 
Then run:
sho track -points 1000 -twiss -dispersion -position no -momentum no
(Accurate as of April 5, 2024 - have to remove the px, py, pz columns manually)
# Ix S Beta_a Alpha_a Beta_b Alpha_b Eta_x Etap_x Eta_y Etap_y
91 345.395593 36.879663 -1.823611 14.504122 0.863280 1.603778 0.079703 0.000000 -0.000000
92 349.233322 48.649424 1.715134 10.458746 -0.409290 1.846425 -0.065434 0.000000 -0.000000
93 353.071050 33.769792 1.721218 16.111433 -0.968843 1.535431 -0.076110 -0.000000 -0.000000
94 356.908779 22.280486 1.272310 25.319956 -1.430629 1.273525 -0.060378 -0.000000 -0.000000
95 360.746508 14.241931 0.822128 38.072900 -1.892415 1.072022 -0.044631 -0.000000 -0.000000
96 364.584237 11.607912 -0.604974 45.468322 2.114500 0.990844 0.043953 -0.000000 0.000000
97 368.421966 17.983240 -1.055937 31.010774 1.652714 1.169074 0.052807 -0.000000 0.000000
98 372.259694 27.814213 -1.505514 20.097646 1.190928 1.401938 0.068546 -0.000000 0.000000
99 376.097423 41.090502 -1.953857 12.728939 0.729142 1.694859 0.082663 -0.000000 0.000000
100 379.935152 44.009260 2.039549 11.727367 -0.641195 1.755277 -0.082663 -0.000000 -0.000000
101 383.772881 30.077429 1.590978 18.421040 -1.102981 1.453132 -0.071542 -0.000000 -0.000000
102 387.610610 19.589452 1.141654 28.659134 -1.564767 1.208766 -0.055805 -0.000000 -0.000000
103 391.448338 12.555121 0.690984 42.441648 -2.026553 1.022969 -0.043953 -0.000000 -0.000000
104 395.286067 13.102966 -0.736158 40.903492 1.980362 1.039841 0.043953 -0.000000 0.000000
105 399.123796 20.483234 -1.186657 27.475514 1.518576 1.230490 0.057380 -0.000000 0.000000
106 402.961525 31.316127 -1.635843 17.591957 1.056790 1.480898 0.073115 -0.000000 0.000000
107 406.799254 45.592402 -2.084555 11.252821 0.595004 1.787009 0.082663 -0.000000 0.000000
108 410.636982 39.607704 1.908850 13.306469 -0.775333 1.663127 -0.082663 -0.000000 0.000000
109 414.474711 26.675592 1.460604 21.029713 -1.237119 1.375927 -0.066972 0.000000 0.000000
110 418.312440 17.189831 1.010901 32.297378 -1.698905 1.149105 -0.051231 0.000000 0.000000
111 422.150169 11.160784 0.559800 47.109463 -2.160691 0.973972 -0.043953 0.000000 0.000000
112 425.987898 14.890424 -0.867203 36.637728 1.846224 1.089457 0.046207 0.000000 -0.000000
113 429.825627 23.274565 -1.317277 24.239321 1.384438 1.297004 0.061952 0.000000 -0.000000
114 433.663355 35.108463 -1.766033 15.385335 0.922652 1.564950 0.077682 0.000000 -0.000000
115 437.501084 49.393814 -0.216350 10.282902 0.050591 1.860571 0.008191 0.000000 0.000000
116 441.338813 35.496778 1.778819 15.184638 -0.909471 1.573484 -0.078131 0.000000 0.000000
117 445.176542 23.564569 1.330107 23.937452 -1.371257 1.303815 -0.062402 0.000000 0.000000
118 449.014271 15.081826 0.880064 36.234688 -1.833043 1.094544 -0.046656 0.000000 0.000000
119 452.851999 11.042046 -0.499360 47.573569 1.968977 0.969266 0.039774 0.000000 -0.000000
120 456.689728 16.969764 -0.998048 32.671030 1.712086 1.143517 0.050782 0.000000 -0.000000
121 460.527457 26.356997 -1.447786 21.302194 1.250300 1.368615 0.066523 0.000000 -0.000000
122 464.365186 39.190899 -1.896075 13.477779 0.788514 1.654093 0.082248 0.000000 -0.000000
123 468.202915 46.050508 2.097398 11.123907 -0.581823 1.796064 -0.082663 0.000000 -0.000000
124 472.040643 31.675921 1.648642 17.361872 -1.043609 1.488931 -0.073564 0.000000 -0.000000
125 475.878372 20.744622 1.199497 27.144258 -1.505395 1.236800 -0.057829 -0.000000 -0.000000
126 479.716101 13.265660 0.749049 40.471064 -1.967181 1.044656 -0.043953 -0.000000 -0.000000
127 483.553830 12.405147 -0.678093 42.887084 2.039735 1.018154 0.043953 -0.000000 -0.000000
128 487.391559 19.340742 -1.128810 29.003398 1.577948 1.202645 0.055344 -0.000000 -0.000000
129 491.229287 29.736187 -1.579993 18.664133 1.116162 1.417712 0.056056 -0.000000 -0.000000
130 495.067016 43.595094 -2.031233 11.869288 0.654376 1.632841 0.056056 -0.000000 -0.000000
131 498.904745 41.776869 1.945961 12.515037 -0.707722 1.522278 -0.094456 -0.000000 -0.000000
132 502.742474 28.522287 1.507824 19.713404 -1.167963 1.182431 -0.080826 -0.000000 -0.000000
133 506.580203 18.634062 1.068543 30.444331 -1.628203 0.902470 -0.065070 -0.000000 -0.000000
134 510.417932 12.122439 0.627873 44.707817 -2.088444 0.678013 -0.055707 -0.000000 -0.000000
135 514.255660 14.375937 -0.801106 38.686793 1.838525 0.617255 0.000459 -0.000000 0.000000
